,10,20,30,40,50,60
arima,0.005069172118613204,0.005069172118613204,0.005069172118613204,0.005084220451648309,0.005084220451648309,0.005084220451648309
da-rnn,0.044001977436952354,0.03329190541891839,0.052367747605756215,0.04376928433823521,0.04840518018934435,0.04828341871124458
deep-ar,0.0014047963207974182,0.001507687508346745,0.0014025312809124609,0.0013903832225876439,0.0014153446945670727,0.0014135281029477276
deep-state,0.0016967616087239497,0.008493754474115106,0.021722039207908175,0.009249838618133473,0.004035762732395267,0.0034503811767825385
lstm,0.0032364603358476683,0.005421799298680665,0.00433054616963419,0.004728502130754245,0.0041513248076739265,0.004655558172528656
mlp,0.0030407081339585505,0.004032154872383143,0.003466926875388159,0.0035054747536576625,0.0036196596723892353,0.0033353398978947977
rf,0.001460961380809113,0.001464782175785389,0.0014656513996604084,0.0015698961787038693,0.0015959828333760126,0.001518181268702317
svr,0.0012924404224596783,0.0013482719412601326,0.0013471675056029619,0.001397714862132436,0.0014982773812199546,0.0014933942889824808
tft,0.001412933081537941,0.001412999650687389,0.0014129873793013712,0.001412736492696546,0.001412827123504854,0.001413023804497453
xgboost,0.003027872995473677,0.008580532740594156,0.003363305017441717,0.012354983054728458,0.009926419299791475,0.007780316311906768
